GR000,AB,S1
GR000,AB,S2
GR000,ACH,S1
GR000,ACH,S2
GR000,ADE,S1
GR000,ADE,S2
GR000,AFN,S1
GR000,AFN,S2
GR001,ANP,S1
GR004,ANP,S2
GR005,ANR,S1
GR004,ANR,S2
GR001,APK,S2
GR004,APK,S1
GR000,ARI,S1
GR000,ARI,S2
GR002,ARP,S1
GR005,ARP,S2
GR001,ARS,S1
GR003,ARS,S2
GR000,ARW,S1
GR000,ARW,S2
GR000,ASA,S1
GR000,ASA,S2
GR001,ATF,S1
GR004,ATF,S2
GR000,ATQ,S1
GR000,ATQ,S2
GR002,BGS,S1
GR005,BGS,S2
GR000,BSA,S1
GR000,BSA,S2
GR000,CDR,S1
GR000,CDR,S2
GR001,CR,S2
GR003,CR,S1
GR002,DHS,S1
GR004,DHS,S2
GR000,DMR,S1
GR000,DMR,S2
GR001,DOD,S2
GR004,DOD,S1
GR001,DRY,S2
GR002,DRY,S1
GR001,DS,S2
GR005,DS,S1
GR000,DSE,S1
GR000,DSE,S2
GR001,DWI,S1
GR004,DWI,S2
GR005,DWW,S1
GR004,DWW,S2
GR001,ELA,S2
GR004,ELA,S1
GR000,END,S1
GR000,END,S2
GR001,ENH,S1
GR000,ENH,S2
GR002,ERF,S2
GR004,ERF,S1
GR000,ESA,S1
GR000,ESA,S2
GR000,ESS,S1
GR000,ESS,S2
GR000,FPR,S1
GR000,FPR,S2
GR000,FRP,S1
GR000,FRP,S2
GR001,FU,S2
GR004,FU,S1
GR000,FUM,S1
GR000,FUM,S2
GR002,GAP,S1
GR005,GAP,S2
GR000,GBP,S1
GR000,GBP,S2
GR000,GPR,S1
GR000,GPR,S2
GR002,SIR,S2
GR000,HAR,S1
GR000,HAR,S2
GR005,HED,S1
GR000,HED,S2
GR002,HJT,S2
GR004,HJT,S1
GR005,HP,S1
GR004,HP,S2
GR000,HRS,S1
GR000,HRS,S2
GR000,IAM,S1
GR000,IAM,S2
GR001,IDW,S2
GR004,IDW,S1
GR001,IFR,S1
GR004,IFR,S2
GR001,IKP,S1
GR005,IKP,S2
GR000,IN,S1
GR000,IN,S2
GR001,IRA,S2
GR004,IRA,S1
GR000,IWP,S1
GR000,IWP,S2
GR000,JAS,S1
GR000,JAS,S2
GR001,KPA,S2
GR004,KPA,S1
GR001,KSB,S2
GR004,KSB,S1
GR001,LA,S2
GR002,LA,S1
GR000,MA,S1
GR000,MA,S2
GR005,MAH,S2
GR004,MAH,S1
GR001,MEA,S2
GR004,MEA,S1
GR001,MIS,S2
GR003,MIS,S1
GR002,MM,S1
GR005,MM,S2
GR001,MMH,S1
GR004,MMH,S2
GR000,MMU,S1
GR000,MMU,S2
GR005,MQ,S2
GR003,MQ,S1
GR000,MS,S1
GR000,MS,S2
GR002,MSK,S2
GR003,MSK,S1
GR000,MUP,S1
GR000,MUP,S2
GR004,MZA,S1
GR000,MZA,S2
GR001,NOP,S2
GR004,NOP,S1
GR000,NUR,S1
GR000,NUR,S2
GR000,ODT,S1
GR000,ODT,S2
GR001,OKE,S2
GR005,OKE,S1
GR001,PPA,S2
GR003,PPA,S1
GR001,PYS,S1
GR004,PYS,S2
GR000,QH,S1
GR000,QH,S2
GR001,RAA,S2
GR003,RAA,S1
GR000,RB,S1
GR000,RB,S2
GR001,RDA,S2
GR004,RDA,S1
GR001,RDM,S2
GR003,RDM,S1
GR000,RDN,S1
GR000,RDN,S2
GR001,RID,S1
GR004,RID,S2
GR001,RIZ,S2
GR004,RIZ,S1
GR000,RKA,S1
GR000,RKA,S2
GR002,ROW,S1
GR005,ROW,S2
GR001,RR,S1
GR004,RR,S2
GR004,RWS,S1
GR003,RWS,S2
GR000,SBS,S1
GR000,SBS,S2
GR000,SES,S1
GR000,SES,S2
GR003,SIR,S1
GR000,SMU,S1
GR000,SMU,S2
GR001,SNA,S1
GR003,SNA,S2
GR000,TAW,S1
GR000,TAW,S2
GR001,TOM,S1
GR004,TOM,S2
GR000,UDR,S1
GR000,UDR,S2
GR005,UN,S1
GR004,UN,S2
GR002,VAH,S1
GR003,VAH,S2
GR000,VAL,S1
GR000,VAL,S2
GR001,VIS,S2
GR003,VIS,S1
GR000,VNW,S1
GR000,VNW,S2
GR000,VS,S1
GR000,VS,S2
GR000,WID,S1
GR000,WID,S2
GR001,WIS,S1
GR004,WIS,S2
GR002,YA,S1
GR004,YA,S2
GR005,YP,S2
GR004,YP,S1
GR000,YS,S1
GR000,YS,S2
GR000,YWS,S1
GR000,YWS,S2
GR001,YY,S2
GR004,YY,S1
GR002,ZUL,S2
GR004,ZUL,S1
